Source	Target	Type	Weight
58767022	69625706	Directed	1
175440989	238901269	Directed	1
118720645	1256720508	Directed	1
2882782490	2471684046	Directed	1
319114948	264196770	Directed	1
21287641	554911013	Directed	1
273836417	2886528006	Directed	1
139040894	156512000	Directed	1
2543325242	141140825	Directed	1
178163809	119811328	Directed	1
175400805	481974851	Directed	1
101927379	51186838	Directed	1
781534230	166390108	Directed	1
2595354499	151088143	Directed	2
212138995	451298105	Directed	1
143570179	536116812	Directed	1
130538137	1011126882	Directed	1
2796677991	273836417	Directed	1
116067169	178163809	Directed	1
130538137	338052689	Directed	5
338052689	2930866975	Directed	1
390006468	326826471	Directed	1
100631273	105459685	Directed	1
300594419	2263843524	Directed	1
1597864344	2267100962	Directed	1
457877311	2309331085	Directed	1
68725330	159680277	Directed	1
44967144	310156412	Directed	1
399124117	1268404297	Directed	1
